Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
509,45,male,3,own,moderate,,8588,39,car,High
510,26,male,2,own,little,little,759,12,car,Low
511,32,male,3,free,little,,4686,36,car,Medium
512,26,male,2,rent,little,rich,2687,15,business,Medium
513,20,male,2,rent,little,moderate,585,12,radio/TV,Low
514,54,male,2,own,,,2255,24,car,Low
515,37,female,2,own,little,little,609,6,car,Low
516,40,male,1,own,little,little,1361,6,car,Low
517,23,female,2,rent,little,,7127,36,furniture/equipment,High
518,43,male,2,own,moderate,little,1203,6,car,Low
519,36,male,2,free,,,700,6,radio/TV,Low
520,44,male,2,free,little,,5507,24,repairs,Medium
521,24,female,2,own,little,little,3190,18,radio/TV,Medium
522,53,male,2,free,little,little,7119,48,furniture/equipment,High
523,23,female,2,own,moderate,,3488,24,car,Medium
524,26,female,1,own,little,moderate,1113,18,radio/TV,Low
525,30,male,2,own,little,moderate,7966,26,car,High
526,31,female,2,own,moderate,,1532,15,education,Low
527,42,male,1,own,little,,1503,4,radio/TV,Low
528,31,male,2,rent,little,little,2302,36,radio/TV,Low
529,41,male,1,own,little,little,662,6,car,Low
530,32,male,2,own,little,moderate,2273,36,education,Low
531,28,female,2,rent,moderate,moderate,2631,15,car,Medium
532,41,male,2,rent,little,,1503,12,car,Low
533,26,male,2,own,moderate,,1311,24,radio/TV,Low
534,25,male,2,own,,,3105,24,radio/TV,Medium
535,33,male,2,rent,little,rich,2319,21,education,Low
536,75,female,3,own,,little,1374,6,car,Low
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,Medium
538,42,male,3,free,little,little,7763,48,car,High
539,45,female,1,own,little,rich,3049,18,furniture/equipment,Medium
540,23,male,2,rent,little,moderate,1534,12,radio/TV,Low
541,60,male,2,free,little,,2032,24,car,Low
542,31,male,2,own,,little,6350,30,furniture/equipment,High
543,34,male,1,own,little,rich,2864,18,furniture/equipment,Medium
544,61,male,1,own,little,,1255,12,car,Low
545,43,male,2,free,little,little,1333,24,car,Low
546,37,female,2,own,little,,2022,24,car,Low
547,32,male,2,own,little,,1552,24,radio/TV,Low
548,24,female,1,own,little,little,626,12,radio/TV,Low
549,35,male,2,free,,,8858,48,car,High
550,23,female,2,own,,,996,12,repairs,Low
551,45,male,1,own,quite rich,,1750,6,radio/TV,Low
552,34,male,2,own,little,little,6999,48,radio/TV,High
553,27,male,2,own,moderate,moderate,1995,12,car,Low
554,67,female,3,own,little,moderate,1199,9,education,Low
555,22,male,2,own,little,moderate,1331,12,radio/TV,Low
556,28,female,2,own,moderate,moderate,2278,18,car,Low
557,29,female,2,own,,,5003,21,car,Medium
558,27,male,2,own,little,little,3552,24,furniture/equipment,Medium
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,Low
560,49,male,2,free,,little,2964,24,car,Medium
561,24,male,1,rent,little,little,1546,24,radio/TV,Low
562,29,female,2,own,little,rich,683,6,radio/TV,Low
563,37,male,2,free,,moderate,12389,36,car,High
564,37,male,3,own,,moderate,4712,24,business,Medium
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,Low
566,36,male,2,own,little,little,1372,12,car,Low
567,34,male,2,own,rich,,2578,24,radio/TV,Medium
568,41,male,2,own,,moderate,3979,48,radio/TV,Medium
569,31,female,2,own,little,little,6758,48,radio/TV,High
570,23,female,1,rent,little,little,3234,24,furniture/equipment,Medium
571,38,male,2,own,little,,5954,30,radio/TV,High
572,26,female,3,rent,,,5433,24,car,Medium
573,22,female,1,own,little,little,806,15,business,Low
574,27,male,1,own,little,moderate,1082,9,radio/TV,Low
575,24,female,2,own,little,,2788,15,furniture/equipment,Medium
576,27,female,2,own,little,moderate,2930,12,radio/TV,Medium
577,33,female,2,own,,,1927,24,education,Low
578,27,male,2,own,little,moderate,2820,36,car,Medium
579,27,male,1,own,little,,937,24,education,Low
580,30,male,2,own,little,moderate,1056,18,car,Low
581,49,male,1,own,little,moderate,3124,12,car,Medium
582,26,female,2,rent,little,,1388,9,furniture/equipment,Low
583,33,male,1,rent,little,moderate,2384,36,repairs,Medium
584,52,female,3,free,,,2133,12,car,Low
585,20,female,2,rent,little,little,2039,18,furniture/equipment,Low
586,36,male,2,rent,little,little,2799,9,car,Medium
587,21,male,1,own,little,little,1289,12,furniture/equipment,Low
588,47,male,1,own,little,little,1217,18,domestic appliances,Low
589,60,male,2,own,little,little,2246,12,furniture/equipment,Low
590,58,female,1,own,little,little,385,12,radio/TV,Low
591,42,female,2,rent,,moderate,1965,24,car,Low
592,36,female,1,own,rich,,1572,21,business,Low
593,20,female,1,rent,little,moderate,2718,24,car,Medium
594,40,male,3,own,,little,1358,24,vacation/others,Low
595,32,female,1,own,moderate,moderate,931,6,car,Low
596,23,female,2,rent,little,little,1442,24,car,Low
597,36,male,1,own,little,moderate,4241,24,business,Medium
598,31,male,2,own,little,,2775,18,car,Medium
599,32,male,2,free,little,,3863,24,business,Medium
600,45,female,2,own,little,moderate,2329,7,radio/TV,Medium
601,30,female,2,own,little,moderate,918,9,furniture/equipment,Low
602,34,female,1,free,little,moderate,1837,24,education,Low
603,28,female,3,own,little,,3349,36,furniture/equipment,Medium
604,23,female,2,own,little,rich,1275,10,furniture/equipment,Low
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,Medium
606,74,male,3,own,little,,4526,24,business,Medium
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,Medium
608,33,male,2,own,little,,2051,18,radio/TV,Low
609,45,male,2,free,,,1300,15,car,Low
610,22,female,2,own,moderate,little,741,12,domestic appliances,Low
611,48,female,1,free,moderate,rich,1240,10,car,Low
612,29,female,2,own,rich,little,3357,21,radio/TV,Medium
613,22,female,2,rent,little,little,3632,24,car,Medium
614,22,female,2,own,little,,1808,18,furniture/equipment,Low
615,48,male,3,own,,moderate,12204,48,business,High
616,27,male,3,free,,moderate,9157,60,radio/TV,High
617,37,male,2,rent,little,little,3676,6,car,Medium
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,Medium
619,49,male,1,own,little,,640,12,car,Low
620,27,male,2,own,little,moderate,3652,21,business,Medium
621,32,male,2,own,little,,1530,18,car,Low
622,38,male,2,own,,,3914,48,business,Medium
623,22,female,2,rent,little,little,1858,12,furniture/equipment,Low
624,65,male,2,free,little,little,2600,18,radio/TV,Medium
625,35,male,2,own,,,1979,15,radio/TV,Low
626,41,male,2,own,little,rich,2116,6,furniture/equipment,Low
627,29,male,2,own,moderate,moderate,1437,9,car,Low
628,36,male,2,own,quite rich,,4042,42,furniture/equipment,Medium
629,64,male,1,own,,,3832,9,education,Medium
630,28,female,2,own,little,little,3660,24,radio/TV,Medium
631,44,male,2,own,little,little,1553,18,furniture/equipment,Low
632,23,male,2,own,,moderate,1444,15,radio/TV,Low
633,19,female,2,rent,little,,1980,9,furniture/equipment,Low
634,25,female,1,own,little,moderate,1355,24,car,Low
635,47,male,2,own,little,,1393,12,education,Low
636,28,female,2,own,quite rich,,1376,24,radio/TV,Low
637,21,male,2,own,little,,15653,60,radio/TV,High
638,34,female,2,own,little,,1493,12,radio/TV,Low
639,26,male,2,own,little,little,4370,42,radio/TV,Medium
640,27,female,0,own,little,little,750,18,education,Low
641,38,male,1,own,little,moderate,1308,15,repairs,Low
642,40,male,3,own,moderate,,4623,15,education,Medium
643,33,male,2,own,little,,1851,24,radio/TV,Low
644,32,male,3,own,little,little,1880,18,radio/TV,Low
645,27,male,2,rent,,,7980,36,business,High
646,32,male,2,own,little,little,4583,30,furniture/equipment,Medium
647,26,female,2,own,quite rich,,1386,12,car,Low
648,38,male,2,free,little,rich,947,24,car,Low
649,40,male,1,rent,little,little,684,12,education,Low
650,50,male,3,free,little,little,7476,48,education,High
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,Low
652,45,male,2,own,little,little,2303,24,car,Low
653,42,male,3,own,moderate,moderate,8086,36,car,High
654,35,male,2,own,little,,2346,24,car,Medium
655,22,male,2,free,little,little,3973,14,car,Medium
656,41,male,1,own,little,moderate,888,12,car,Low
657,37,male,2,own,,,10222,48,radio/TV,High
658,28,female,2,own,little,moderate,4221,30,business,Medium
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,Medium
660,23,male,2,rent,little,rich,1297,12,radio/TV,Low
661,23,male,2,own,,little,900,12,car,Low
662,50,male,2,own,little,,2241,21,furniture/equipment,Low
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,Low
664,50,female,1,own,little,rich,1047,6,education,Low
665,27,male,3,own,little,,6314,24,vacation/others,Medium
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,Medium
667,27,female,2,own,little,,3609,48,business,Medium
668,43,male,2,rent,little,little,4843,12,car,Medium
669,47,male,2,own,little,rich,3017,30,radio/TV,Medium
670,27,male,1,own,moderate,,4139,24,business,Medium
671,31,male,2,own,moderate,,5742,36,business,High
672,42,male,3,own,little,,10366,60,car,High
673,24,male,2,own,quite rich,,2080,6,car,Low
674,41,male,1,own,quite rich,,2580,21,business,Medium
675,26,female,3,rent,little,,4530,30,radio/TV,Medium
676,33,male,2,own,little,,5150,24,furniture/equipment,Medium
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,High
678,64,male,1,rent,little,little,2384,24,radio/TV,Medium
679,26,female,2,own,little,,1453,18,radio/TV,Low
680,56,female,2,own,little,,1538,6,education,Low
681,37,male,2,free,,,2279,12,radio/TV,Low
682,33,male,2,own,little,,1478,15,radio/TV,Low
683,47,male,2,free,little,,5103,24,radio/TV,Medium
684,31,male,1,own,moderate,moderate,9857,36,business,High
685,34,male,2,free,,,6527,60,car,High
686,27,male,2,own,,rich,1347,10,radio/TV,Low
687,30,male,2,free,moderate,moderate,2862,36,car,Medium
688,35,male,2,own,moderate,,2753,9,radio/TV,Medium
689,31,male,2,own,rich,little,3651,12,car,Medium
690,25,male,2,own,little,little,975,15,furniture/equipment,Low
691,25,female,1,own,moderate,moderate,2631,15,repairs,Medium
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,Medium
693,44,male,1,own,,little,4716,6,car,Medium
694,28,male,2,own,little,,2284,24,radio/TV,Low
695,50,male,2,rent,quite rich,,1236,6,car,Low
696,29,male,2,own,little,moderate,1103,12,radio/TV,Low
697,38,female,0,own,little,,926,12,car,Low
698,24,male,2,own,little,,1800,18,radio/TV,Low
699,40,male,3,rent,little,rich,1905,15,education,Low
700,29,female,1,rent,quite rich,,1123,12,furniture/equipment,Low
701,46,male,2,free,little,little,6331,48,car,High
702,47,female,2,free,moderate,rich,1377,24,radio/TV,Low
703,41,male,2,own,moderate,moderate,2503,30,business,Medium
704,32,female,2,own,little,moderate,2528,27,business,Medium
705,35,female,2,free,quite rich,,5324,15,car,Medium
706,24,male,2,own,moderate,moderate,6560,48,car,High
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,Medium
708,25,female,2,own,little,moderate,1206,9,radio/TV,Low
709,37,male,1,own,little,moderate,2118,9,radio/TV,Low
710,32,male,3,own,quite rich,,629,18,radio/TV,Low
711,35,female,2,free,little,little,1198,6,education,Low
712,46,male,3,own,,,2476,21,car,Medium
713,25,male,1,own,little,little,1138,9,radio/TV,Low
714,27,male,3,own,little,moderate,14027,60,car,High
715,63,male,2,own,,,7596,30,car,High
716,40,male,2,own,,,3077,30,radio/TV,Medium
717,32,male,3,free,little,,1505,18,radio/TV,Low
718,31,male,2,own,,rich,3148,24,radio/TV,Medium
719,31,male,2,own,moderate,moderate,6148,20,car,Medium
720,34,male,3,own,little,rich,1337,9,radio/TV,Low
721,24,female,2,rent,rich,moderate,433,6,education,Low
722,24,female,1,own,little,little,1228,12,car,Low
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,Low
724,21,female,2,rent,little,,2570,27,car,Medium
725,41,female,1,own,rich,,250,6,car,Low
726,47,male,1,own,quite rich,,1316,15,radio/TV,Low
727,25,female,2,rent,little,little,1882,18,radio/TV,Low
728,59,female,2,rent,little,moderate,6416,48,business,High
729,36,male,2,own,rich,rich,1275,24,business,Low
730,33,male,2,own,little,moderate,6403,24,radio/TV,Medium
731,21,male,1,rent,little,little,1987,24,radio/TV,Low
732,44,female,1,own,little,moderate,760,8,radio/TV,Low
733,28,female,2,rent,rich,,2603,24,car,Medium
734,37,female,2,own,little,,3380,4,car,Medium
735,29,female,0,own,,moderate,3990,36,domestic appliances,Medium
736,23,female,3,rent,little,moderate,11560,24,car,Medium
737,35,male,1,own,moderate,little,4380,18,car,Medium
738,45,male,3,own,little,,6761,6,car,Medium
739,26,female,1,rent,moderate,moderate,4280,30,business,Medium
740,32,male,2,own,moderate,little,2325,24,car,Medium
741,23,male,1,own,little,moderate,1048,10,radio/TV,Low
742,41,male,2,own,,,3160,21,radio/TV,Medium
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,Medium
744,30,male,3,own,,little,14179,39,furniture/equipment,High
745,28,male,1,own,little,little,1797,13,business,Low
746,23,female,2,rent,little,little,2511,15,car,Medium
747,37,female,1,own,little,little,1274,12,car,Low
748,26,male,2,own,,,5248,21,car,Medium
749,33,male,2,own,little,,3029,15,car,Medium
750,49,female,2,own,little,little,428,6,furniture/equipment,Low
751,23,female,1,own,little,little,976,18,car,Low
752,23,female,1,rent,moderate,moderate,841,12,business,Low
753,25,female,2,own,little,,5771,30,radio/TV,High
754,55,male,2,free,rich,,1555,12,repairs,Low
755,32,female,2,rent,,little,1285,24,car,Low
756,74,male,0,own,little,rich,1299,6,car,Low
757,39,male,2,free,,rich,1271,15,radio/TV,Low
758,31,male,2,own,little,,1393,24,car,Low
759,35,male,2,own,little,little,691,12,car,Low
760,59,female,2,own,,,5045,15,car,Medium
761,24,female,2,rent,little,little,2124,18,furniture/equipment,Low
762,24,male,1,own,little,little,2214,12,radio/TV,Low
763,30,male,3,free,,,12680,21,car,Medium
764,27,male,2,own,moderate,,2463,24,car,Medium
765,40,male,1,own,little,moderate,1155,12,radio/TV,Low
766,31,male,1,own,little,little,3108,30,furniture/equipment,Medium
767,31,female,2,rent,,,2901,10,car,Medium
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,Medium
769,63,male,1,own,little,,1655,12,radio/TV,Low
770,26,female,2,rent,,little,2812,24,car,Medium
771,25,female,3,own,little,little,8065,36,education,High
772,36,male,3,own,little,,3275,21,car,Medium
773,52,male,2,own,moderate,,2223,24,radio/TV,Low
774,66,male,0,free,quite rich,rich,1480,12,car,Low
775,25,female,2,rent,,little,1371,24,car,Low
776,37,male,2,own,little,,3535,36,car,Medium
777,25,female,2,own,little,little,3509,18,radio/TV,Medium
778,38,male,3,own,rich,,5711,36,car,High
779,67,female,2,own,little,moderate,3872,18,repairs,Medium
780,25,male,2,own,little,moderate,4933,39,radio/TV,Medium
781,60,male,2,own,rich,,1940,24,car,Low
782,31,male,1,own,little,moderate,1410,12,education,Low
783,23,female,1,own,moderate,moderate,836,12,car,Low
784,60,male,3,own,,moderate,6468,20,car,Medium
785,35,male,1,own,rich,moderate,1941,18,business,Low
786,40,male,2,own,quite rich,,2675,22,radio/TV,Medium
787,38,male,2,own,,,2751,48,car,Medium
788,50,male,2,free,little,moderate,6224,48,education,High
789,27,male,2,own,little,little,5998,40,education,High
790,39,female,2,own,little,moderate,1188,21,business,Low
791,41,male,3,own,,,6313,24,car,Medium
792,27,male,2,own,,,1221,6,furniture/equipment,Low
793,51,male,2,free,little,rich,2892,24,furniture/equipment,Medium
794,32,male,2,rent,quite rich,,3062,24,furniture/equipment,Medium
795,22,female,2,rent,moderate,,2301,9,furniture/equipment,Low
796,51,male,2,free,,little,7511,18,car,Medium
797,22,female,1,rent,little,,1258,12,furniture/equipment,Low
798,54,male,2,own,,,717,24,car,Low
799,35,male,0,own,,moderate,1549,9,car,Low
800,54,male,2,free,little,,1597,24,education,Low
801,48,female,1,rent,little,moderate,1795,18,radio/TV,Low
802,24,female,2,own,little,little,4272,20,furniture/equipment,Medium
803,35,male,2,own,,,976,12,radio/TV,Low
804,24,female,0,rent,,moderate,7472,12,car,Medium
805,24,male,2,own,little,little,9271,36,car,High
806,26,male,1,own,little,moderate,590,6,radio/TV,Low
807,65,male,2,own,,,930,12,radio/TV,Low
808,55,male,3,free,little,moderate,9283,42,car,High
809,26,female,0,rent,little,moderate,1778,15,car,Low
810,26,male,2,own,little,moderate,907,8,business,Low
811,28,male,1,own,little,moderate,484,6,radio/TV,Low
812,24,male,2,own,little,little,9629,36,car,High
813,54,male,2,own,little,little,3051,48,domestic appliances,Medium
814,46,male,2,free,little,little,3931,48,car,Medium
815,54,female,2,rent,little,moderate,7432,36,car,High
816,62,male,2,own,quite rich,,1338,6,domestic appliances,Low
817,24,female,2,rent,little,,1554,6,radio/TV,Low
818,43,male,3,own,little,little,15857,36,vacation/others,High
819,26,male,2,own,little,little,1345,18,radio/TV,Low
820,27,male,2,own,little,,1101,12,car,Low
821,24,male,2,own,little,rich,3016,12,radio/TV,Medium
822,41,male,2,own,little,little,2712,36,furniture/equipment,Medium
823,47,male,1,own,little,little,731,8,car,Low
824,35,male,3,own,little,,3780,18,furniture/equipment,Medium
825,30,male,2,own,little,little,1602,21,car,Low
826,33,female,2,rent,little,little,3966,18,car,Medium
827,36,male,2,own,little,,4165,18,business,Medium
828,47,male,2,free,,little,8335,36,car,High
829,38,male,2,free,,moderate,6681,48,business,High
830,44,male,2,own,quite rich,,2375,24,business,Medium
831,23,female,2,rent,little,little,1216,18,car,Low
832,29,male,2,rent,little,little,11816,45,business,High
833,42,female,2,own,,moderate,5084,24,radio/TV,Medium
834,25,female,1,own,little,rich,2327,15,radio/TV,Medium
835,48,male,2,own,little,little,1082,12,car,Low
836,21,female,2,own,,,886,12,radio/TV,Low
837,23,female,1,rent,little,,601,4,furniture/equipment,Low
838,63,male,2,own,little,little,2957,24,car,Medium
839,46,male,2,own,little,,2611,24,radio/TV,Medium
840,29,male,2,own,little,little,5179,36,furniture/equipment,High
841,28,male,1,own,little,,2993,21,car,Medium
842,23,female,2,own,little,,1943,18,repairs,Low
843,50,male,2,own,little,,1559,24,business,Low
844,47,male,2,own,little,,3422,18,furniture/equipment,Medium
845,35,male,2,own,,moderate,3976,21,furniture/equipment,Medium
846,68,male,2,rent,,,6761,18,car,Medium
847,28,male,2,own,little,,1249,24,car,Low
848,59,male,2,own,little,little,1364,9,radio/TV,Low
849,57,male,1,own,little,little,709,12,radio/TV,Low
850,33,male,2,rent,little,little,2235,20,car,Low
851,43,male,2,own,,,4042,24,car,Medium
852,35,male,2,free,little,,1471,15,radio/TV,Low
853,32,male,1,free,little,little,1442,18,car,Low
854,45,male,2,own,little,,10875,36,car,High
855,33,male,2,own,moderate,,1474,24,car,Low
856,40,female,2,own,,,894,10,education,Low
857,28,male,2,free,little,,3343,15,furniture/equipment,Medium
858,29,female,2,own,little,little,3959,15,car,Medium
859,26,male,2,rent,moderate,,3577,9,car,Medium
860,27,male,2,own,rich,,5804,24,car,Medium
861,28,male,2,own,little,,2169,18,business,Low
862,35,female,2,own,little,little,2439,24,radio/TV,Medium
863,32,male,1,own,rich,,4526,27,furniture/equipment,Medium
864,25,male,1,rent,little,,2210,10,furniture/equipment,Low
865,20,female,2,rent,quite rich,,2221,15,furniture/equipment,Low
866,27,female,2,own,little,little,2389,18,radio/TV,Medium
867,42,male,2,own,little,,3331,12,furniture/equipment,Medium
868,37,male,2,own,,,7409,36,business,High
869,24,female,2,rent,little,little,652,12,furniture/equipment,Low
870,40,female,2,own,quite rich,,7678,36,furniture/equipment,High
871,46,male,2,own,little,rich,1343,6,car,Low
872,26,male,2,own,moderate,little,1382,24,business,Low
873,24,female,2,own,,,874,15,domestic appliances,Low
874,29,male,1,own,little,little,3590,12,furniture/equipment,Medium
875,40,female,2,own,rich,moderate,1322,11,car,Low
876,36,male,3,free,little,little,1940,18,radio/TV,Low
877,28,male,2,own,little,,3595,36,radio/TV,Medium
878,27,male,3,free,little,little,1422,9,car,Low
879,36,male,2,own,,,6742,30,radio/TV,High
880,38,male,3,own,little,,7814,24,car,Medium
881,48,male,2,free,,,9277,24,car,Medium
882,36,male,2,own,,moderate,2181,30,car,Low
883,65,female,0,own,little,,1098,18,radio/TV,Low
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,Medium
885,53,female,2,own,little,little,795,12,education,Low
886,34,male,2,own,,moderate,2825,24,business,Medium
887,23,male,2,own,little,moderate,15672,48,business,High
888,34,male,3,own,little,,6614,36,car,High
889,40,male,2,rent,,,7824,28,car,High
890,43,male,3,own,little,little,2442,27,business,Medium
891,46,male,2,own,little,,1829,15,radio/TV,Low
892,38,male,1,own,little,little,2171,12,car,Low
893,34,male,2,own,little,moderate,5800,36,car,High
894,29,male,2,own,,,1169,18,radio/TV,Low
895,31,male,3,own,,,8947,36,car,High
896,28,female,3,rent,little,little,2606,21,radio/TV,Medium
897,35,female,2,own,rich,,1592,12,furniture/equipment,Low
898,33,female,1,rent,,,2186,15,furniture/equipment,Low
899,42,male,2,own,little,little,4153,18,furniture/equipment,Medium
900,43,male,2,rent,little,little,2625,16,car,Medium
901,44,male,2,own,,,3485,20,car,Medium
902,42,male,2,free,,,10477,36,car,High
903,40,male,2,rent,,,1386,15,radio/TV,Low
904,36,male,3,own,little,,1278,24,radio/TV,Low
905,20,male,3,rent,little,little,1107,12,radio/TV,Low
906,24,male,1,own,,little,3763,21,car,Medium
907,27,male,2,own,,moderate,3711,36,education,Medium
908,46,female,1,own,little,,3594,15,car,Medium
909,33,female,1,own,,moderate,3195,9,car,Medium
910,34,female,2,own,little,,4454,36,radio/TV,Medium
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,Medium
912,25,female,2,own,,moderate,2991,30,radio/TV,Medium
913,28,male,2,own,rich,,2142,11,business,Low
914,31,male,2,rent,little,little,3161,24,business,Medium
915,32,female,3,own,little,moderate,18424,48,vacation/others,High
916,32,male,2,own,moderate,,2848,10,car,Medium
917,68,male,3,own,little,little,14896,6,car,Medium
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,Medium
919,39,male,3,rent,little,little,3345,24,furniture/equipment,Medium
920,28,female,2,own,little,,1817,18,furniture/equipment,Low
921,37,male,3,own,quite rich,,12749,48,radio/TV,High
922,22,female,2,rent,little,little,1366,9,radio/TV,Low
923,30,male,2,rent,little,moderate,2002,12,car,Low
924,55,male,2,own,little,little,6872,24,furniture/equipment,Medium
925,46,male,2,own,little,little,697,12,car,Low
926,21,female,2,rent,little,little,1049,18,furniture/equipment,Low
927,39,male,2,free,little,little,10297,48,car,High
928,58,male,2,own,,,1867,30,radio/TV,Low
929,43,male,1,own,little,little,1344,12,car,Low
930,24,male,1,own,little,little,1747,24,furniture/equipment,Low
931,22,female,2,own,little,moderate,1670,9,radio/TV,Low
932,30,male,2,own,little,,1224,9,car,Low
933,42,male,2,own,quite rich,,522,12,radio/TV,Low
934,23,female,2,own,little,little,1498,12,radio/TV,Low
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,Low
936,28,female,1,own,little,rich,745,9,radio/TV,Low
937,30,male,3,rent,little,moderate,2063,6,radio/TV,Low
938,42,male,2,free,little,moderate,6288,60,education,High
939,46,male,3,own,,,6842,24,car,Medium
940,45,male,3,own,,,3527,12,car,Medium
941,31,male,1,own,little,,1546,10,car,Low
942,31,male,2,own,,,929,24,furniture/equipment,Low
943,42,male,1,own,little,,1455,4,car,Low
944,46,female,2,rent,little,little,1845,15,furniture/equipment,Low
945,30,female,2,own,quite rich,moderate,8358,48,car,High
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,Medium
947,38,male,3,own,,,2859,12,car,Medium
948,43,male,1,own,little,,1533,18,furniture/equipment,Low
949,31,male,2,own,moderate,,3621,24,radio/TV,Medium
950,40,male,0,own,little,moderate,3590,18,business,Medium
951,24,male,2,own,little,little,2145,36,business,Low
952,28,female,2,rent,quite rich,moderate,4113,24,car,Medium
953,26,female,3,own,little,,10974,36,furniture/equipment,High
954,29,female,2,own,little,little,1893,12,car,Low
955,57,female,3,rent,rich,little,1231,24,radio/TV,Low
956,49,male,1,own,,rich,3656,30,radio/TV,Medium
957,37,male,1,own,little,moderate,1154,9,radio/TV,Low
958,45,male,1,own,little,little,4006,28,car,Medium
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,Medium
960,30,male,2,rent,little,,1740,6,radio/TV,Low
961,47,male,2,own,little,moderate,2353,21,car,Medium
962,29,male,2,own,,,3556,15,car,Medium
963,35,male,2,own,quite rich,,2397,24,radio/TV,Medium
964,22,male,1,own,little,moderate,454,6,repairs,Low
965,26,female,2,own,,moderate,1715,30,radio/TV,Low
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,Medium
967,54,female,3,rent,little,,3568,15,radio/TV,Medium
968,29,male,2,rent,,,7166,42,radio/TV,High
969,40,male,1,own,little,little,3939,11,car,Medium
970,22,male,2,own,moderate,moderate,1514,15,repairs,Low
971,43,male,1,own,little,,7393,24,car,Medium
972,29,female,0,rent,little,little,1193,24,car,Low
973,36,male,2,rent,little,little,7297,60,business,High
974,33,female,2,own,little,,2831,30,radio/TV,Medium
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,Low
976,64,female,2,own,little,moderate,753,6,radio/TV,Low
977,42,male,2,own,,moderate,2427,18,business,Medium
978,47,male,1,own,little,,2538,24,car,Medium
979,25,male,2,rent,moderate,moderate,1264,15,car,Low
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,High
981,33,male,3,rent,little,,4844,48,business,Medium
982,28,female,3,own,moderate,rich,2923,21,car,Medium
983,26,male,2,own,little,little,8229,36,car,High
984,30,male,1,own,little,,2028,24,furniture/equipment,Low
985,25,female,2,rent,little,little,1433,15,furniture/equipment,Low
986,33,male,2,own,little,rich,6289,42,business,High
987,64,female,2,own,moderate,,1409,13,radio/TV,Low
988,29,male,3,free,little,little,6579,24,car,Medium
989,48,male,1,own,little,moderate,1743,24,radio/TV,Low
990,37,male,1,own,,,3565,12,education,Medium
991,34,male,1,own,moderate,,1569,15,radio/TV,Low
992,23,male,1,rent,,little,1936,18,radio/TV,Low
993,30,male,3,own,little,little,3959,36,furniture/equipment,Medium
994,50,male,2,own,,,2390,12,car,Medium
995,31,female,1,own,little,,1736,12,furniture/equipment,Low
996,40,male,3,own,little,little,3857,30,car,Medium
997,38,male,2,own,little,,804,12,radio/TV,Low
998,23,male,2,free,little,little,1845,45,radio/TV,Low
999,27,male,2,own,moderate,moderate,4576,45,car,Medium
